date,date_,link
2020-09-04,09/04/2020,https://telegra.ph/2020-09-04-03-09
2020-09-11,09/11/2020,https://telegra.ph/2020-09-11-03-09
2020-09-18,09/18/2020,https://telegra.ph/2020-09-18-03-09
2020-09-25,09/25/2020,https://telegra.ph/2020-09-25-03-09
2020-10-09,10/09/2020,https://telegra.ph/2020-10-09-03-09
2020-10-16,10/16/2020,https://telegra.ph/2020-10-16-03-09
2020-10-23,10/23/2020,https://telegra.ph/2020-10-23-03-09
2020-10-30,10/30/2020,https://telegra.ph/2020-10-30-03-09
2020-11-06,11/06/2020,https://telegra.ph/2020-11-06-03-09
2020-11-13,11/13/2020,https://telegra.ph/2020-11-13-03-09
2020-12-04,12/04/2020,https://telegra.ph/2020-12-04-03-09
2021-01-22,01/22/2021,https://telegra.ph/2021-01-22-03-09
2021-01-29,01/29/2021,https://telegra.ph/2021-01-29-03-09
2021-02-05,02/05/2021,https://telegra.ph/2021-02-05-03-09
2021-02-12,02/12/2021,https://telegra.ph/2021-02-12-03-09
2021-03-26,03/26/2021,https://telegra.ph/2021-03-26-03-09
2021-04-02,04/02/2021,https://telegra.ph/2021-04-02-03-09
2021-04-09,04/09/2021,https://telegra.ph/2021-04-09-03-09
2021-04-16,04/16/2021,https://telegra.ph/2021-04-16-03-09
2021-04-23,04/23/2021,https://telegra.ph/2021-04-23-03-09
2021-04-30,04/30/2021,https://telegra.ph/2021-04-30-03-09
2021-05-07,05/07/2021,https://telegra.ph/2021-05-07-03-09
2021-05-21,05/21/2021,https://telegra.ph/2021-05-21-03-09